,0,1,2,3,4,5,6,7,8,9,10,11,12,username
236,1,2,2,0,1,0,6,9,2,63,296,0,483,536
237,2,1,1,5,4,4,7,3,6,4,223,16,143,15
238,2,1,3,2,3,2,7,0,22,71,242,14,381,166
239,1,2,1,5,5,1,2,1,6,45,175,20,491,33
240,2,1,0,3,2,1,6,7,22,91,12,0,63,114
241,0,2,3,3,1,3,4,4,3,0,195,0,198,234
242,1,2,2,1,0,5,4,10,6,97,8,0,54,303
243,1,2,3,0,0,2,2,2,10,83,130,9,284,540
244,1,2,3,3,0,2,6,9,0,33,264,1,241,524
245,1,2,0,2,0,5,7,4,21,29,61,15,488,543
246,1,2,0,3,4,1,4,2,13,6,9,3,171,601
247,2,1,1,3,1,3,1,4,10,86,53,0,396,396
248,0,2,3,4,2,5,3,7,19,28,36,0,323,425
249,1,2,0,5,2,6,6,13,12,31,140,8,20,418
250,2,1,2,3,5,6,6,4,22,11,255,0,426,77
251,0,1,2,2,4,6,4,5,19,54,205,11,157,564
252,2,1,2,2,0,1,5,8,21,92,180,18,248,452
253,2,1,3,4,1,6,1,4,14,36,251,0,216,69
254,0,0,0,2,3,5,4,2,10,91,10,5,472,443
255,0,2,0,5,1,6,1,5,11,48,252,18,380,404
256,2,1,1,4,4,2,1,6,19,38,2,18,58,511
257,1,2,1,2,0,0,0,2,9,94,252,5,299,7
258,1,2,0,3,0,1,7,4,17,46,206,17,260,27
259,1,2,0,2,0,6,0,11,0,63,166,16,354,117
260,2,1,0,5,3,5,6,9,3,20,153,11,212,377
261,1,0,3,2,2,1,6,5,19,7,291,0,322,75
262,2,1,0,3,3,6,3,7,14,13,190,9,267,582
263,1,2,0,3,4,5,4,4,13,93,92,20,59,659
264,0,3,3,3,0,3,7,5,19,33,204,0,224,48
265,0,3,0,5,1,5,3,12,1,10,202,4,397,73
266,0,2,3,3,2,4,4,9,18,14,23,20,317,160
267,2,1,1,3,1,4,7,4,13,38,59,1,314,454
268,2,1,3,1,0,3,0,10,20,28,209,0,144,641
269,2,1,0,0,0,1,2,1,1,6,213,18,230,108
270,0,1,3,2,0,4,3,7,7,66,192,0,388,85
271,1,2,1,5,1,0,6,13,5,4,209,12,392,385
272,0,0,3,5,2,3,2,1,2,64,26,0,338,173
273,1,2,2,2,0,4,2,3,4,5,91,0,9,268
274,1,1,0,5,3,5,4,12,0,90,211,5,452,197
275,1,2,2,0,1,1,4,4,6,36,156,20,358,489
276,1,2,2,3,0,6,2,1,8,78,246,13,462,136
277,2,1,1,3,0,1,0,3,0,44,22,19,261,466
278,1,2,0,3,4,6,3,12,13,71,112,0,219,248
279,0,3,0,2,3,3,7,4,16,95,86,15,29,326
280,0,3,3,2,2,5,1,1,4,8,285,9,152,578
281,0,0,2,4,0,5,0,9,10,50,161,0,193,313
282,2,1,0,2,4,0,4,8,19,0,231,0,83,461
283,1,0,1,0,0,5,4,1,15,86,153,0,138,421
284,1,2,1,2,5,1,2,0,20,65,207,0,460,6
285,2,1,3,2,5,2,6,4,8,17,305,7,216,383
286,1,2,0,1,4,2,0,12,4,38,215,8,318,462
287,2,1,1,4,3,6,4,3,4,89,98,9,151,254
288,1,2,0,4,0,5,6,14,14,19,301,5,5,128
289,1,2,1,3,1,5,4,4,11,20,44,0,21,442
290,2,1,2,4,2,4,5,4,20,17,55,14,338,334
291,2,2,0,3,4,3,3,4,13,0,3,0,394,349
292,1,2,3,1,3,4,2,8,21,84,192,0,425,563
293,0,2,3,5,5,6,1,12,22,46,80,6,481,328
294,0,2,1,3,0,0,1,4,17,73,156,4,397,25
295,2,1,0,5,0,0,6,10,3,38,204,8,353,441
296,2,1,2,3,5,4,2,4,9,13,245,16,236,306
297,2,1,0,3,0,0,6,10,5,13,70,5,288,215
298,2,1,0,3,5,4,4,13,19,71,96,5,150,624
299,1,2,3,3,3,5,1,14,16,1,297,19,23,397
300,1,2,1,3,2,1,2,7,0,39,19,0,184,625
301,2,1,3,2,5,4,0,6,1,18,67,18,297,652
302,2,1,2,3,5,6,1,2,9,5,0,13,446,534
303,1,2,0,2,2,5,3,4,2,28,93,0,200,201
304,2,1,3,4,4,0,3,3,18,17,185,17,403,548
305,1,2,0,4,4,6,3,6,16,54,230,6,321,204
306,0,1,1,3,2,6,4,6,13,24,185,2,262,430
307,1,2,1,2,5,5,3,13,18,56,262,8,16,64
308,0,3,2,3,5,4,7,4,10,41,95,3,211,355
309,2,1,2,0,3,4,7,5,22,33,111,20,186,115
310,1,2,3,3,4,4,6,3,17,72,310,0,234,251
311,1,2,0,2,5,1,6,14,12,62,283,19,301,437
312,1,2,2,2,2,0,5,14,5,42,70,0,37,244
313,1,0,0,5,2,6,4,5,3,32,280,7,350,598
314,2,1,3,2,3,6,5,2,16,67,245,0,384,420
315,1,2,0,3,2,3,7,5,20,69,122,0,185,599
316,1,2,2,0,5,4,6,4,18,36,287,3,135,112
317,2,1,1,4,0,6,3,6,2,86,172,17,480,70
318,2,0,1,5,5,5,7,0,16,4,123,0,87,463
319,1,2,2,1,0,3,2,4,17,19,34,16,10,560
320,0,2,2,4,0,5,7,3,21,57,177,0,429,240
321,2,1,2,2,5,0,3,4,1,73,288,11,33,374
322,1,2,1,0,4,1,4,9,1,80,306,5,257,83
323,2,1,1,3,0,6,0,13,10,18,293,0,242,241
324,0,2,3,3,5,3,6,12,10,69,247,5,108,422
325,1,2,2,3,3,1,7,8,1,60,187,12,357,319
326,1,0,3,3,4,0,4,7,15,92,230,7,455,501
327,2,0,3,1,3,5,6,7,22,79,150,5,4,447
328,0,0,3,1,1,4,4,7,0,35,101,12,348,190
329,0,3,1,4,0,4,5,9,6,71,151,0,88,493
330,0,0,3,3,0,3,3,4,0,40,38,6,94,193
331,2,0,1,3,1,3,7,13,19,18,294,15,128,165
332,2,1,0,3,0,0,4,12,13,46,169,0,176,602
333,1,2,1,0,5,2,4,12,11,83,102,0,116,144
334,1,0,3,3,4,1,2,3,12,44,18,10,250,648
335,0,3,0,1,2,6,3,14,15,24,102,5,24,575
336,2,1,3,5,1,4,3,4,1,21,126,0,3,594
337,0,0,3,1,0,1,6,10,0,94,10,3,101,642
338,2,1,2,4,2,6,0,12,13,68,274,18,84,186
339,2,1,1,0,2,1,0,11,15,5,44,17,466,76
340,1,2,3,1,0,4,7,6,14,38,178,0,118,99
341,2,1,0,3,0,3,0,12,5,47,174,16,424,245
342,2,1,2,5,2,3,0,0,20,64,201,0,95,603
343,2,0,0,3,2,5,0,9,7,83,17,6,226,276
344,2,1,3,3,2,4,4,10,17,90,302,0,223,57
345,1,2,1,2,2,6,2,13,20,93,114,12,373,622
346,2,1,2,3,5,2,7,4,13,2,207,12,95,133
347,2,0,3,3,5,6,4,14,14,76,45,0,148,486
348,2,0,0,3,3,1,5,0,13,68,91,0,225,340
349,0,1,2,4,1,5,1,4,3,80,298,14,64,357
350,1,2,0,0,3,6,2,1,20,49,74,0,131,43
351,0,3,3,1,0,5,0,9,6,62,102,6,200,584
352,1,2,0,3,5,5,4,4,7,21,33,0,490,5
353,1,2,0,3,3,0,4,2,9,38,284,17,27,327
354,1,0,3,3,2,6,2,12,8,10,224,18,233,483
355,1,0,3,5,4,3,2,7,14,91,78,8,231,138
356,2,1,2,1,2,3,4,4,13,47,259,18,110,145
357,1,2,1,4,2,6,7,1,15,74,183,8,258,288
358,1,2,2,4,3,6,0,7,19,94,198,20,328,635
359,2,0,3,1,1,6,3,14,16,30,252,0,340,478
360,1,2,2,4,1,0,7,10,12,11,24,0,445,267
361,2,1,1,4,5,5,4,9,0,87,74,10,106,634
362,2,0,2,2,3,6,0,10,12,84,158,8,255,589
363,1,2,2,4,0,1,0,5,14,2,192,10,321,537
364,0,0,2,3,2,5,3,4,11,68,55,10,155,152
