,friend1,friend2,weight
210,100003841880135,abhivyakti.gupta,0.14285714285714285
211,100003841880135,harsh.lohia.587,0.14285714285714285
212,100003841880135,simran.tyagi.319,0.07142857142857142
213,100003841880135,taresh.singhania.1,0.0
214,100003841880135,deepti.awasthi.5836,0.0
215,100003841880135,jindalmagnus/,0.0
216,100003841880135,manvi.sharma.5283,0.07142857142857142
217,100003841880135,bhaviijoshii,0.21428571428571427
218,100003841880135,sanuba.khan.14,0.0
219,100003841880135,utsavpilania,0.0
220,100003841880135,satyam.goyal.927,0.0
221,100003841880135,100012295711134,0.0
222,100003841880135,aishwarya.khandelwal.9,0.14285714285714285
223,100003841880135,avi.malhotra.18,0.0
224,100003841880135,vaibhav.goel.984,0.07142857142857142
225,100003841880135,angel.walia.79069,0.0
226,100003841880135,100010352118008,0.21428571428571427
227,100003841880135,100007022147752,0.0
228,100003841880135,sujay237,0.0
229,100003841880135,ojasviiigupta,0.07142857142857142
230,100003841880135,kalra.isha,0.0
231,100003841880135,damanpalsingh.6,0.07142857142857142
232,100003841880135,dhruv60,0.21428571428571427
233,100003841880135,reesha.agarwal,0.21428571428571427
234,100003841880135,100004863696000,0.0
235,100003841880135,tanya.guwalani,0.0
236,100003841880135,nilanjanghatak04,0.07142857142857142
237,100003841880135,satvik.agarwal.982292,0.0
238,100003841880135,vaibhav.goel.984,0.07142857142857142
239,100003841880135,abhinandan.chaudhary007,0.07142857142857142
240,100003841880135,riyasoganii,0.07142857142857142
241,100003841880135,shrestha.mohanty.5,0.0
242,100003841880135,100009496153721,0.0
243,100003841880135,Your-Law-Mentor-103970667655302/,0.0
244,100003841880135,ricky.y.tandon,0.0
245,100003841880135,vedaanshkaushik,0.14285714285714285
246,100003841880135,Akhshitaa17,0.07142857142857142
247,100003841880135,sujay237,0.0
248,100003841880135,rose.chaudhary,0.07142857142857142
249,100003841880135,100008721786880,0.0
250,100003841880135,kalra.isha,0.0
251,100003841880135,rick.riordan.395,0.14285714285714285
252,100003841880135,100009225158689,0.0
253,100003841880135,lifecoachJDove/,0.0
254,100003841880135,sanomsingh,0.14285714285714285
255,100003841880135,agriti.mehrotra,0.14285714285714285
256,100003841880135,tejal.mathur,0.0
257,100003841880135,anjli.bawa.7,0.07142857142857142
258,100003841880135,hunar.chugh,0.07142857142857142
259,100003841880135,samiksha.khanna.98,0.0
260,100003841880135,piaaaa.tripathi,0.07142857142857142
261,100003841880135,krishna.kapoor23,0.07142857142857142
262,100003841880135,aayush.gautam.90,0.14285714285714285
263,100003841880135,vanshika.bhatia.39750,0.07142857142857142
264,100003841880135,100002367503790,0.07142857142857142
265,100003841880135,100004467798718,0.07142857142857142
266,100003841880135,lsrtarang2020/,0.0
267,100003841880135,rishi.raj.2507,0.07142857142857142
268,100003841880135,100013819081766,0.0
269,100003841880135,ishu.saxena.505,0.07142857142857142
270,100003841880135,tejal.mathur,0.0
271,100003841880135,mjjmylife10,0.0
272,prakhar.goel.71,kshitij.gulati,0.0
273,prakhar.goel.71,abhimanyu.lakra.5,0.14285714285714285
274,prakhar.goel.71,vidit.jain.127,0.0
275,prakhar.goel.71,raunak.mokhasi,0.14285714285714285
276,prakhar.goel.71,angel.walia.79069,0.21428571428571427
277,prakhar.goel.71,tanish.jain.1293575,0.0
278,prakhar.goel.71,yatin20,0.07142857142857142
279,prakhar.goel.71,vaibhav.jayant.186,0.21428571428571427
280,prakhar.goel.71,sudhanshu.kumar36,0.07142857142857142
281,prakhar.goel.71,bhavay.wadhwa.7,0.14285714285714285
282,prakhar.goel.71,shaney.waris.5,0.14285714285714285
283,prakhar.goel.71,rohan.dhariwal.773,0.0
284,prakhar.goel.71,shreya.prasad.528,0.2857142857142857
285,prakhar.goel.71,angel.walia.79069,0.21428571428571427
286,prakhar.goel.71,sciencepyramid/,0.0
287,prakhar.goel.71,100010352118008,0.14285714285714285
288,prakhar.goel.71,nishtha.singhal3,0.2857142857142857
289,prakhar.goel.71,yashwanth.babu,0.0
290,prakhar.goel.71,gargarjun14,0.2857142857142857
291,prakhar.goel.71,100001621463778,0.07142857142857142
292,prakhar.goel.71,aakash.sehrawat.507,0.0
293,prakhar.goel.71,arav.malik.587,0.14285714285714285
294,prakhar.goel.71,100010141837433,0.07142857142857142
295,prakhar.goel.71,kalra.isha,0.2857142857142857
296,prakhar.goel.71,aarish.chhabra.1,0.0
297,prakhar.goel.71,jatin.singhal.397,0.14285714285714285
298,prakhar.goel.71,priyanshi.jain.940,0.21428571428571427
299,prakhar.goel.71,ashwin.gill.39,0.07142857142857142
300,prakhar.goel.71,anvit.sachdev,0.35714285714285715
301,prakhar.goel.71,amogh.gulati,0.07142857142857142
302,prakhar.goel.71,RIISE.IIITD/,0.0
303,prakhar.goel.71,lakshay.dahiya.12,0.07142857142857142
304,prakhar.goel.71,scooby7shaggy,0.0
305,prakhar.goel.71,raghav.rathi.999,0.07142857142857142
306,prakhar.goel.71,dhruvvermaa,0.0
307,prakhar.goel.71,tanisha.pandey.3720,0.14285714285714285
308,prakhar.goel.71,parikshit.pruthi,0.07142857142857142
309,prakhar.goel.71,100009402341466,0.07142857142857142
310,prakhar.goel.71,tejas.greenday,0.2857142857142857
311,prakhar.goel.71,nikita.chopra.505,0.2857142857142857
312,prakhar.goel.71,vishal.samal.90,0.21428571428571427
313,prakhar.goel.71,Pushpraj17307,0.07142857142857142
314,prakhar.goel.71,madhavsainanee,0.14285714285714285
315,prakhar.goel.71,100017424158038,0.07142857142857142
316,prakhar.goel.71,100003302077349,0.21428571428571427
317,prakhar.goel.71,100037429370901,0.0
318,prakhar.goel.71,sai.santosh21099,0.0
319,prakhar.goel.71,shloakaggarwal,0.14285714285714285
320,prakhar.goel.71,rohanrajpal1,0.21428571428571427
321,prakhar.goel.71,chirayuprasad,0.21428571428571427
322,prakhar.goel.71,swapnil.bansal.161,0.21428571428571427
323,prakhar.goel.71,tejal.mathur,0.07142857142857142
324,prakhar.goel.71,anmol.singhal.397,0.0
325,prakhar.goel.71,anshul.gautam.754,0.07142857142857142
326,prakhar.goel.71,hananabhamid,0.0
327,prakhar.goel.71,brijesh.tripathi.378,0.2857142857142857
328,prakhar.goel.71,BladeFilmsOfficial/,0.0
329,prakhar.goel.71,deepanshu.kaushal.182,0.0
330,prakhar.goel.71,mihir.goyal.7,0.0
331,prakhar.goel.71,sahilartfusion,0.14285714285714285
332,prakhar.goel.71,sujay237,0.0
333,prakhar.goel.71,nehabhairavi.prakriya,0.0
334,prakhar.goel.71,atul.anand.9047,0.07142857142857142
335,prakhar.goel.71,vaibhav.goel.984,0.21428571428571427
336,prakhar.goel.71,ashmeet.singh.161214,0.07142857142857142
337,prakhar.goel.71,TheRealJuz0,0.07142857142857142
338,prakhar.goel.71,colleze.snek.5,0.21428571428571427
339,prakhar.goel.71,deepankar.aggarwal.12,0.07142857142857142
340,prakhar.goel.71,sumit.raj.39142,0.21428571428571427
341,prakhar.goel.71,himanshu51,0.07142857142857142
342,prakhar.goel.71,abhishek.soni.750,0.07142857142857142
343,prakhar.goel.71,himmu51/,0.0
344,prakhar.goel.71,harshbandhey,0.21428571428571427
345,prakhar.goel.71,sanket.khajuria,0.0
346,prakhar.goel.71,vaibhav.goel.984,0.21428571428571427
347,prakhar.goel.71,notmanan,0.21428571428571427
348,prakhar.goel.71,dakshah,0.0
349,prakhar.goel.71,anant3110,0.14285714285714285
350,prakhar.goel.71,Sachin.nNandal,0.14285714285714285
351,prakhar.goel.71,rhythmpatelofficial,0.14285714285714285
352,prakhar.goel.71,100021222968954,0.0
353,prakhar.goel.71,kalra.isha,0.2857142857142857
354,prakhar.goel.71,shashwatrock,0.07142857142857142
355,prakhar.goel.71,varinee.jain,0.07142857142857142
356,prakhar.goel.71,rkr9thelaw,0.21428571428571427
357,prakhar.goel.71,suhavib,0.07142857142857142
358,prakhar.goel.71,sezal.chug,0.0
359,prakhar.goel.71,vaishalisharma12345,0.14285714285714285
360,prakhar.goel.71,tushar.gupta.165685,0.14285714285714285
361,prakhar.goel.71,lavanya.verma.92560,0.07142857142857142
362,prakhar.goel.71,apratim.ankit.7,0.07142857142857142
363,prakhar.goel.71,romesh.rajoria,0.21428571428571427
364,prakhar.goel.71,hanny.samaria.1,0.2857142857142857
365,prakhar.goel.71,johnmohammad.sharma.9,0.07142857142857142
366,prakhar.goel.71,hvhvhv2012,0.14285714285714285
367,prakhar.goel.71,ChhoteMiyanDhaakad/,0.0
368,prakhar.goel.71,akshit.pal8,0.0
369,prakhar.goel.71,adityaguptamumbai,0.21428571428571427
370,prakhar.goel.71,samarth.singhal.180,0.21428571428571427
371,prakhar.goel.71,yash.sherry,0.35714285714285715
372,prakhar.goel.71,ritik.malik.35762,0.07142857142857142
373,prakhar.goel.71,rtomar1999,0.21428571428571427
374,prakhar.goel.71,bhuvanyu.dogra,0.21428571428571427
375,prakhar.goel.71,sanskar.sachdeva.27,0.0
376,prakhar.goel.71,aniket.pradhan.311,0.14285714285714285
377,prakhar.goel.71,100026595786476,0.0
378,prakhar.goel.71,akshay.kumar.7771,0.0
379,prakhar.goel.71,singh.yashvardhan29,0.14285714285714285
380,prakhar.goel.71,siddharth.arya.20,0.14285714285714285
381,prakhar.goel.71,priya.kaushal.3956,0.21428571428571427
382,prakhar.goel.71,Aarush1Talwar,0.07142857142857142
383,prakhar.goel.71,sounak.gupta,0.21428571428571427
384,prakhar.goel.71,kushagra.arora,0.07142857142857142
385,prakhar.goel.71,a.gupta2710,0.0
386,prakhar.goel.71,100017754999725,0.0
387,prakhar.goel.71,allindiadankmemes/,0.0
388,prakhar.goel.71,qualitymemers/,0.0
389,prakhar.goel.71,archit.singh.9803,0.07142857142857142
390,prakhar.goel.71,kanupriya.singhh,0.07142857142857142
391,prakhar.goel.71,vermaarsh,0.14285714285714285
392,prakhar.goel.71,yashdeep.singh.940,0.07142857142857142
393,prakhar.goel.71,dtu.site/,0.0
394,prakhar.goel.71,sujay237,0.0
395,prakhar.goel.71,memesandmemes99/,0.0
396,prakhar.goel.71,kaushal.basumatary,0.2857142857142857
397,prakhar.goel.71,100009490171036,0.14285714285714285
398,prakhar.goel.71,100005931842072,0.07142857142857142
399,prakhar.goel.71,anish.bhardwaj.33,0.07142857142857142
400,prakhar.goel.71,atul.anand.9047,0.07142857142857142
401,prakhar.goel.71,himanshu.bansal.315,0.14285714285714285
402,prakhar.goel.71,100013971825009,0.35714285714285715
403,prakhar.goel.71,kartikey.singh.79677,0.2857142857142857
404,prakhar.goel.71,tejal.mathur,0.07142857142857142
405,prakhar.goel.71,sehaj.singh.752,0.07142857142857142
406,prakhar.goel.71,apratim.ankit.7,0.07142857142857142
407,prakhar.goel.71,100003509507158,0.14285714285714285
408,prakhar.goel.71,PyRishabhSharma,0.21428571428571427
409,prakhar.goel.71,rachit.jain.7169,0.14285714285714285
